排名上限[排名在此之上的都依次处理],基础属性加成,国战额外兵力上限加成,威望加成,称号
id,nAttr,nBingli,nPrestige,sTitle
int,int,int,int,string
1,1000,2500,370,大将军
2,1000,1800,340,车骑将军
3,1000,1800,340,车骑将军
4,1000,1400,310,荡寇将军
5,1000,1400,310,荡寇将军
6,1000,1400,310,荡寇将军
7,1000,1200,280,龙骧将军
8,1000,1200,280,龙骧将军
9,1000,1200,280,龙骧将军
10,1000,1200,280,龙骧将军
11,1000,1100,250,虎翼将军
12,1000,1100,250,虎翼将军
13,1000,1100,250,虎翼将军
14,1000,1100,250,虎翼将军
15,1000,1100,250,虎翼将军
16,1000,1000,220,破虏将军
17,1000,1000,220,破虏将军
18,1000,1000,220,破虏将军
19,1000,1000,220,破虏将军
20,1000,1000,220,破虏将军
21,1000,1000,220,破虏将军
22,1000,900,190,飞卫将军
23,1000,900,190,飞卫将军
24,1000,900,190,飞卫将军
25,1000,900,190,飞卫将军
26,1000,900,190,飞卫将军
27,1000,900,190,飞卫将军
28,1000,900,190,飞卫将军
29,1000,800,160,伏波将军
30,1000,800,160,伏波将军
31,1000,800,160,伏波将军
32,1000,800,160,伏波将军
33,1000,800,160,伏波将军
34,1000,800,160,伏波将军
35,1000,800,160,伏波将军
36,1000,800,160,伏波将军
37,1000,700,130,奋威将军
38,1000,700,130,奋威将军
39,1000,700,130,奋威将军
40,1000,700,130,奋威将军
41,1000,700,130,奋威将军
42,1000,700,130,奋威将军
43,1000,700,130,奋威将军
44,1000,700,130,奋威将军
45,1000,700,130,奋威将军
46,1000,500,0,无
47,1000,500,0,无
48,1000,500,0,无
49,1000,500,0,无
50,1000,500,0,无
