任务id,领奖所需达成条件数量1,奖励1,领奖所需达成条件数量2,奖励2,领奖所需达成条件数量3,奖励3,领奖所需达成条件数量4,奖励4,领奖所需达成条件数量5,奖励5
id,nRewardCond1,strReward1,nRewardCond2,strReward2,nRewardCond3,strReward3,nRewardCond4,strReward4,nRewardCond5,strReward5
int,int,string,int,string,int,string,int,string,int,string
1,10,2|1|5000,14,3|1|5,0,0,0,0,0,0
2,10,2|1|5000,14,3|1|5,18,200|68|5,0,0,0,0
3,10,2|1|5000,14,3|1|5,18,200|68|5,0,0,0,0
4,10,2|1|5000,14,3|1|5,0,0,0,0,0,0
5,10,2|1|10000,14,19|1|1,0,0,0,0,0,0
6,10,2|1|10000,14,19|1|1,18,200|68|10,0,0,0,0
7,10,2|1|10000,14,17|1|1,18,200|68|10,0,0,0,0
8,10,2|1|10000,14,39|1|1,0,0,0,0,0,0
9,10,2|1|20000,14,3|1|10,18,27|1|1,0,0,0,0
10,10,2|1|20000,14,3|1|10,18,33|1|1,0,0,0,0
11,10,2|1|20000,14,3|1|10,18,24|1|1,0,0,0,0
12,10,2|1|20000,14,3|1|10,18,26|1|1,0,0,0,0
13,10,2|1|20000,14,3|1|10,18,27|1|1,0,0,0,0
14,10,2|1|20000,14,3|1|10,18,33|1|1,0,0,0,0
15,10,2|1|20000,14,3|1|10,18,24|1|1,0,0,0,0
16,10,2|1|20000,14,3|1|10,18,26|1|1,0,0,0,0
17,10,2|1|50000,12,3|1|20,15,27|1|1,0,0,0,0
18,10,2|1|50000,12,3|1|20,15,33|1|1,0,0,0,0
19,10,2|1|50000,12,3|1|20,15,24|1|1,0,0,0,0
20,10,2|1|50000,12,3|1|20,15,26|1|1,0,0,0,0
21,10,2|1|50000,12,3|1|20,15,27|1|1,0,0,0,0
22,10,2|1|50000,12,3|1|20,15,33|1|1,0,0,0,0
23,10,2|1|50000,12,3|1|20,15,24|1|1,0,0,0,0
24,10,2|1|50000,12,3|1|20,15,26|1|1,0,0,0,0
25,10,2|1|10000,14,3|1|5,0,0,0,0,0,0
26,10,2|1|10000,14,3|1|5,18,200|68|5,0,0,0,0
27,10,2|1|10000,14,3|1|5,18,200|68|5,0,0,0,0
28,10,2|1|10000,14,3|1|5,0,0,0,0,0,0
29,10,2|1|20000,14,19|1|1,0,0,0,0,0,0
30,10,2|1|20000,14,39|1|1,18,200|68|10,0,0,0,0
31,10,2|1|20000,14,28|1|1,18,200|68|10,0,0,0,0
32,10,2|1|20000,14,17|1|1,0,0,0,0,0,0
33,10,2|1|40000,14,3|1|10,18,27|1|1,0,0,0,0
34,10,2|1|40000,14,3|1|10,18,33|1|1,0,0,0,0
35,10,2|1|40000,14,3|1|10,18,24|1|1,0,0,0,0
36,10,2|1|40000,14,3|1|10,18,26|1|1,0,0,0,0
37,10,2|1|40000,14,3|1|10,18,27|1|1,0,0,0,0
38,10,2|1|40000,14,3|1|10,18,33|1|1,0,0,0,0
39,10,2|1|40000,14,3|1|10,18,24|1|1,0,0,0,0
40,10,2|1|40000,14,3|1|10,18,26|1|1,0,0,0,0
41,10,2|1|100000,12,3|1|20,15,27|1|1,0,0,0,0
42,10,2|1|100000,12,3|1|20,15,33|1|1,0,0,0,0
43,10,2|1|100000,12,3|1|20,15,24|1|1,0,0,0,0
44,10,2|1|100000,12,3|1|20,15,26|1|1,0,0,0,0
45,10,2|1|100000,12,3|1|20,15,27|1|1,0,0,0,0
46,10,2|1|100000,12,3|1|20,15,33|1|1,0,0,0,0
47,10,2|1|100000,12,3|1|20,15,24|1|1,0,0,0,0
48,10,2|1|100000,12,3|1|20,15,26|1|1,0,0,0,0
49,10,2|1|15000,14,3|1|5,0,0,0,0,0,0
50,10,2|1|15000,14,3|1|5,18,200|68|5,0,0,0,0
51,10,2|1|15000,14,3|1|5,18,200|68|5,0,0,0,0
52,10,2|1|15000,14,3|1|5,0,0,0,0,0,0
53,10,2|1|30000,14,19|1|1,0,0,0,0,0,0
54,10,2|1|30000,14,39|1|1,18,200|68|10,0,0,0,0
