ID,主题,关卡索引,关卡ID,首通奖励,推荐战力
id,nTheme,nIndex,nLevel,nRewardMail,nZhanli
int,int,int,int,int,int
1,1,0,800011,6701,53780
2,1,1,800021,6702,53780
3,1,2,800031,6703,78380
4,1,3,800041,6704,97700
5,1,4,800051,6705,105000
6,1,5,800061,6706,132000
7,1,6,800071,6707,165000
8,1,7,800081,6708,202000
9,1,8,800091,6709,265000
10,1,9,800101,6710,330000
11,2,0,800111,6701,53780
12,2,1,800121,6702,53780
13,2,2,800131,6703,78380
14,2,3,800141,6704,97700
15,2,4,800151,6705,105000
16,2,5,800161,6706,132000
17,2,6,800171,6707,165000
18,2,7,800181,6708,202000
19,2,8,800191,6709,265000
20,2,9,800201,6710,330000
21,3,0,800011,6701,53780
22,3,1,800021,6702,53780
23,3,2,800031,6703,78380
24,3,3,800041,6704,97700
25,3,4,800051,6705,105000
26,3,5,800061,6706,132000
27,3,6,800071,6707,165000
28,3,7,800081,6708,202000
29,3,8,800091,6709,265000
30,3,9,800101,6710,330000
31,4,0,800111,6701,53780
32,4,1,800121,6702,53780
33,4,2,800131,6703,78380
34,4,3,800141,6704,97700
35,4,4,800151,6705,105000
36,4,5,800161,6706,132000
37,4,6,800171,6707,165000
38,4,7,800181,6708,202000
39,4,8,800191,6709,265000
40,4,9,800201,6710,330000
41,5,0,800211,6701,53780
42,5,1,800221,6702,53780
43,5,2,800231,6703,78380
44,5,3,800241,6704,97700
45,5,4,800251,6705,105000
46,5,5,800261,6706,132000
47,5,6,800271,6707,165000
48,5,7,800281,6708,202000
49,5,8,800291,6709,265000
50,5,9,800301,6710,330000
51,6,0,800311,6701,53780
52,6,1,800321,6702,53780
53,6,2,800331,6703,78380
54,6,3,800341,6704,97700
55,6,4,800351,6705,105000
56,6,5,800361,6706,132000
57,6,6,800371,6707,165000
58,6,7,800381,6708,202000
59,6,8,800391,6709,265000
60,6,9,800401,6710,330000
61,7,0,800011,6701,53780
62,7,1,800021,6702,53780
63,7,2,800031,6703,78380
64,7,3,800041,6704,97700
65,7,4,800051,6705,105000
66,7,5,800061,6706,132000
67,7,6,800071,6707,165000
68,7,7,800081,6708,202000
69,7,8,800091,6709,265000
70,7,9,800101,6710,330000
71,8,0,800111,6701,53780
72,8,1,800121,6702,53780
73,8,2,800131,6703,78380
74,8,3,800141,6704,97700
75,8,4,800151,6705,105000
76,8,5,800161,6706,132000
77,8,6,800171,6707,165000
78,8,7,800181,6708,202000
79,8,8,800191,6709,265000
80,8,9,800201,6710,330000
81,9,0,800211,6701,53780
82,9,1,800221,6702,53780
83,9,2,800231,6703,78380
84,9,3,800241,6704,97700
85,9,4,800251,6705,105000
86,9,5,800261,6706,132000
87,9,6,800271,6707,165000
88,9,7,800281,6708,202000
89,9,8,800291,6709,265000
90,9,9,800301,6710,330000
91,10,0,800311,6701,53780
92,10,1,800321,6702,53780
93,10,2,800331,6703,78380
94,10,3,800341,6704,97700
95,10,4,800351,6705,105000
96,10,5,800361,6706,132000
97,10,6,800371,6707,165000
98,10,7,800381,6708,202000
99,10,8,800391,6709,265000
100,10,9,800401,6710,330000
101,11,0,800011,6701,53780
102,11,1,800021,6702,53780
103,11,2,800031,6703,78380
104,11,3,800041,6704,97700
105,11,4,800051,6705,105000
106,11,5,800061,6706,132000
107,11,6,800071,6707,165000
108,11,7,800081,6708,202000
109,11,8,800091,6709,265000
110,11,9,800101,6710,330000
111,12,0,800111,6701,53780
112,12,1,800121,6702,53780
113,12,2,800131,6703,78380
114,12,3,800141,6704,97700
115,12,4,800151,6705,105000
116,12,5,800161,6706,132000
117,12,6,800171,6707,165000
118,12,7,800181,6708,202000
119,12,8,800191,6709,265000
120,12,9,800201,6710,330000
121,13,0,800211,6701,53780
122,13,1,800221,6702,53780
123,13,2,800231,6703,78380
124,13,3,800241,6704,97700
125,13,4,800251,6705,105000
126,13,5,800261,6706,132000
127,13,6,800271,6707,165000
128,13,7,800281,6708,202000
129,13,8,800291,6709,265000
130,13,9,800301,6710,330000
131,14,0,800311,6701,53780
132,14,1,800321,6702,53780
133,14,2,800331,6703,78380
134,14,3,800341,6704,97700
135,14,4,800351,6705,105000
136,14,5,800361,6706,132000
137,14,6,800371,6707,165000
138,14,7,800381,6708,202000
139,14,8,800391,6709,265000
140,14,9,800401,6710,330000
141,15,0,800011,6701,53780
142,15,1,800021,6702,53780
143,15,2,800031,6703,78380
144,15,3,800041,6704,97700
145,15,4,800051,6705,105000
146,15,5,800061,6706,132000
147,15,6,800071,6707,165000
148,15,7,800081,6708,202000
149,15,8,800091,6709,265000
150,15,9,800101,6710,330000
151,16,0,800111,6701,53780
152,16,1,800121,6702,53780
153,16,2,800131,6703,78380
154,16,3,800141,6704,97700
155,16,4,800151,6705,105000
156,16,5,800161,6706,132000
157,16,6,800171,6707,165000
158,16,7,800181,6708,202000
159,16,8,800191,6709,265000
160,16,9,800201,6710,330000
161,17,0,800211,6701,53780
162,17,1,800221,6702,53780
163,17,2,800231,6703,78380
164,17,3,800241,6704,97700
165,17,4,800251,6705,105000
166,17,5,800261,6706,132000
167,17,6,800271,6707,165000
168,17,7,800281,6708,202000
169,17,8,800291,6709,265000
170,17,9,800301,6710,330000
171,18,0,800311,6701,53780
172,18,1,800321,6702,53780
173,18,2,800331,6703,78380
174,18,3,800341,6704,97700
175,18,4,800351,6705,105000
176,18,5,800361,6706,132000
177,18,6,800371,6707,165000
178,18,7,800381,6708,202000
179,18,8,800391,6709,265000
180,18,9,800401,6710,330000
181,19,0,800011,6701,53780
182,19,1,800021,6702,53780
183,19,2,800031,6703,78380
