编号,等级,封地增减益百分比,封地增减益数值,掠夺增减益百分比,掠夺增减益数值,分解卡魂增减益百分比,分解卡魂增减益数值,每日基础军令增减益百分比,每日基础军令增减益数值
id,nLevel,nResourcePercentCount,nResourceValue,nPlunderPercentCount,nPlunderValue,nCardDecPercentCount,nCardDecValue,nJunlingcPercentCount,nJunlingValue
int,int,int,int,int,int,int,int,int,int
1,1,2,0,3,0,5,0,0,10
2,2,4,0,6,0,10,0,0,11
3,3,6,0,9,0,15,0,0,12
4,4,8,0,12,0,20,0,0,13
5,5,10,0,15,0,25,0,0,14
6,6,12,0,18,0,30,0,0,15
7,7,14,0,21,0,35,0,0,16
8,8,16,0,24,0,40,0,0,17
9,9,18,0,27,0,45,0,0,18
10,10,20,0,30,0,50,0,0,19
11,11,22,0,33,0,55,0,0,20
12,12,24,0,36,0,60,0,0,21
13,13,26,0,39,0,65,0,0,22
14,14,28,0,42,0,70,0,0,23
15,15,30,0,45,0,75,0,0,24
16,16,32,0,48,0,80,0,0,25
17,17,34,0,51,0,85,0,0,26
18,18,36,0,54,0,90,0,0,27
19,19,38,0,57,0,95,0,0,28
20,20,40,0,60,0,100,0,0,29
