道具ID10000+组队副本奖励,商品类型,商品子类型,商品数量,商品说明(填null的，说明会从csvresource里面读),公告信息(null--无公告)
id,nItemClass,nItemType,nItemCount,stringItemDesc,stringItemNotice
int,int,string,int,string,string
1,200,59,1,null,null
2,200,58,80,null,null
3,200,58,160,null,null
4,200,58,250,null,null
5,200,58,500,null,null
6,200,58,1000,null,null
7,200,58,3000,null,null
8,103,15,18,null,null
9,103,15,32,null,null
10,103,15,21,null,null
11,103,15,13,null,null
12,103,15,6,null,null
13,103,15,100,null,null
14,103,15,300,null,null
15,103,15,500,null,null
16,5,1,100,null,null
17,53,1,1,null,null
18,200,59,2,null,null
19,26,1,1,null,null
20,5,1,60,null,null
21,26,1,3,null,null
22,34,1,3,null,null
23,103,15,120,null,null
24,103,15,160,null,null
25,103,15,200,null,null
26,103,15,16,null,null
27,103,15,17,null,null
28,103,15,18,null,null
29,103,15,19,null,null
30,103,15,20,null,null
31,103,15,21,null,null
32,103,15,22,null,null
33,103,15,23,null,null
34,103,15,24,null,null
35,103,15,25,null,null
36,103,15,26,null,null
37,103,15,27,null,null
38,103,15,28,null,null
39,103,15,29,null,null
40,103,15,30,null,null
41,103,15,31,null,null
42,103,15,32,null,null
43,103,15,33,null,null
44,103,15,34,null,null
45,103,15,35,null,null
46,103,15,36,null,null
47,103,15,37,null,null
48,103,15,38,null,null
49,103,15,39,null,null
50,103,15,40,null,null
51,103,15,41,null,null
52,103,15,42,null,null
1001,104,1001,1,1星普通兵符1号位,null
1002,104,1002,1,1星普通兵符2号位,null
1003,104,1003,1,1星普通兵符3号位,null
1004,104,1004,1,1星普通兵符4号位,null
1005,104,1005,1,1星普通兵符5号位,null
1006,104,1006,1,1星普通兵符6号位,null
2001,104,2001,1,2星普通兵符1号位,null
2002,104,2002,1,2星普通兵符2号位,null
2003,104,2003,1,2星普通兵符3号位,null
2004,104,2004,1,2星普通兵符4号位,null
2005,104,2005,1,2星普通兵符5号位,null
2006,104,2006,1,2星普通兵符6号位,null
3001,104,3001,1,3星普通兵符1号位,null
3002,104,3002,1,3星普通兵符2号位,null
3003,104,3003,1,3星普通兵符3号位,null
3004,104,3004,1,3星普通兵符4号位,null
3005,104,3005,1,3星普通兵符5号位,null
3006,104,3006,1,3星普通兵符6号位,null
4011,104,4011,1,null,null
4012,104,4012,1,null,null
4013,104,4013,1,null,null
4014,104,4014,1,null,null
4015,104,4015,1,null,null
4016,104,4016,1,null,null
4021,104,4021,1,null,null
4022,104,4022,1,null,null
4023,104,4023,1,null,null
4024,104,4024,1,null,null
4025,104,4025,1,null,null
4026,104,4026,1,null,null
4031,104,4031,1,null,null
4032,104,4032,1,null,null
4033,104,4033,1,null,null
4034,104,4034,1,null,null
4035,104,4035,1,null,null
4036,104,4036,1,null,null
4041,104,4041,1,null,null
4042,104,4042,1,null,null
4043,104,4043,1,null,null
4044,104,4044,1,null,null
4045,104,4045,1,null,null
4046,104,4046,1,null,null
4051,104,4051,1,null,null
4052,104,4052,1,null,null
4053,104,4053,1,null,null
4054,104,4054,1,null,null
4055,104,4055,1,null,null
4056,104,4056,1,null,null
4061,104,4061,1,null,null
4062,104,4062,1,null,null
4063,104,4063,1,null,null
4064,104,4064,1,null,null
4065,104,4065,1,null,null
4066,104,4066,1,null,null
4071,104,4071,1,null,null
4072,104,4072,1,null,null
4073,104,4073,1,null,null
4074,104,4074,1,null,null
4075,104,4075,1,null,null
4076,104,4076,1,null,null
4081,104,4081,1,null,null
4082,104,4082,1,null,null
4083,104,4083,1,null,null
4084,104,4084,1,null,null
4085,104,4085,1,null,null
4086,104,4086,1,null,null
5011,104,5011,1,5星苍龙1号位,null
5012,104,5012,1,5星苍龙2号位,null
5013,104,5013,1,5星苍龙3号位,null
5014,104,5014,1,5星苍龙4号位,null
5015,104,5015,1,5星苍龙5号位,null
5016,104,5016,1,5星苍龙6号位,null
5021,104,5021,1,5星猛虎1号位,null
5022,104,5022,1,5星猛虎2号位,null
5023,104,5023,1,5星猛虎3号位,null
5024,104,5024,1,5星猛虎4号位,null
5025,104,5025,1,5星猛虎5号位,null
5026,104,5026,1,5星猛虎6号位,null
5031,104,5031,1,5星火凤1号位,null
5032,104,5032,1,5星火凤2号位,null
5033,104,5033,1,5星火凤3号位,null
5034,104,5034,1,5星火凤4号位,null
5035,104,5035,1,5星火凤5号位,null
5036,104,5036,1,5星火凤6号位,null
5041,104,5041,1,5星天狼1号位,null
5042,104,5042,1,5星天狼2号位,null
5043,104,5043,1,5星天狼3号位,null
5044,104,5044,1,5星天狼4号位,null
5045,104,5045,1,5星天狼5号位,null
5046,104,5046,1,5星天狼6号位,null
5051,104,5051,1,5星玄龟1号位,null
5052,104,5052,1,5星玄龟2号位,null
5053,104,5053,1,5星玄龟3号位,null
5054,104,5054,1,5星玄龟4号位,null
5055,104,5055,1,5星玄龟5号位,null
5056,104,5056,1,5星玄龟6号位,null
5061,104,5061,1,5星翔鹰1号位,null
5062,104,5062,1,5星翔鹰2号位,null
5063,104,5063,1,5星翔鹰3号位,null
5064,104,5064,1,5星翔鹰4号位,null
5065,104,5065,1,5星翔鹰5号位,null
5066,104,5066,1,5星翔鹰6号位,null
5071,104,5071,1,5星麒麟1号位,null
5072,104,5072,1,5星麒麟2号位,null
5073,104,5073,1,5星麒麟3号位,null
5074,104,5074,1,5星麒麟4号位,null
5075,104,5075,1,5星麒麟5号位,null
5076,104,5076,1,5星麒麟6号位,null
5081,104,5081,1,5星青鸾1号位,null
5082,104,5082,1,5星青鸾2号位,null
5083,104,5083,1,5星青鸾3号位,null
5084,104,5084,1,5星青鸾4号位,null
5085,104,5085,1,5星青鸾5号位,null
5086,104,5086,1,5星青鸾6号位,null
6001,200,61,20,青玉,null
6002,200,62,1,陨铁,null
7011,103,21,30,周年积分30,null
7012,103,21,60,周年积分60,null
7013,103,21,100,周年积分100,null
7014,5,1,100,钻石100,null
7015,200,60,20,石精20,null
7016,200,61,20,青玉20,null
7017,26,1,1,金币1,null
7018,5,1,50,钻石50,null
7019,26,1,3,金币3,null
7020,34,1,3,金钥匙3,null
7101,2,0,25000,卡魂,null
7102,2,0,40000,卡魂,null
7103,19,0,1,玄武石,null
7104,24,0,1,漆盘券,null
7105,28,0,1,印玉,null
7106,19,0,2,玄武石,null
7107,27,0,1,银币,null
7108,17,0,1,白虎石,null
7109,18,0,1,朱雀石,null
7110,26,0,1,金币,null
7111,27,0,3,银币,null
7112,27,0,4,银币,null
7113,26,0,3,金币,null
7114,26,0,5,金币,null
7115,29,0,1,血玉,null
7116,29,0,2,血玉,null
7117,29,0,3,血玉,null
7118,34,0,1,金钥匙,null
7119,27,0,2,银币,null
7120,200,62,30,陨铁,null
7121,26,0,2,金币,null
7122,200,60,15,石精,null
7123,34,0,1,金钥匙,null
7124,54,0,1,保底券,null
7125,23,0,20,传承卷,null
7126,28,0,5,印玉,null
7127,17,0,5,白虎石,null
7128,53,0,1,玉牌,null
7129,24,0,2,漆盘券,null
7130,29,0,2,血玉,null
7131,200,68,50,洗练石,null
7132,53,0,1,玉牌,null
7133,200,61,100,青玉,null
7134,34,0,1,金钥匙,null
7135,200,61,140,青玉,null
7136,200,62,30,陨铁,null
7137,38,0,1,板砖,null
7138,200,60,15,石精,null
7139,2,0,3000000,卡魂,null
7140,200,68,40,洗练石,null
7141,23,0,35,传承卷,null
7142,2,0,1000000,卡魂,null
7143,16,0,2,青龙石,null
7144,200,62,40,陨铁,null
7145,1,7008 1 0,1,将魂卡,null
7146,2,0,1000000,卡魂,null
7147,26,0,1,金币,null
7148,200,61,120,青玉,null
7149,23,0,30,传承卷,null
7150,39,0,5,齿轮,null
7151,200,62,30,陨铁,null
7152,23,0,3,传承卷,null
7153,33,0,3,银钥匙,null
7154,34,0,1,金钥匙,null
7155,104,6011,1,5星苍龙1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7156,104,6012,1,5星苍龙2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7157,104,6013,1,5星苍龙3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7158,104,6014,1,5星苍龙4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7159,104,6015,1,5星苍龙5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7160,104,6016,1,5星苍龙6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7161,104,6021,1,5星猛虎1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7162,104,6022,1,5星猛虎2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7163,104,6023,1,5星猛虎3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7164,104,6024,1,5星猛虎4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7165,104,6025,1,5星猛虎5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7166,104,6026,1,5星猛虎6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7167,104,6031,1,5星火凤1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7168,104,6032,1,5星火凤2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7169,104,6033,1,5星火凤3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7170,104,6034,1,5星火凤4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7171,104,6035,1,5星火凤5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7172,104,6036,1,5星火凤6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7173,104,6041,1,5星天狼1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7174,104,6042,1,5星天狼2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
