编号,名称,起始时间,结束时间,剧情关卡章节,前置事件,后置事件,后续事件,触发概率(以100记),事件触发成功表现编号,事件触发失败表现编号,奖励(礼包编号),"货币奖励（只包括货币,格式：type1,count1|type2,count2）",描述,简述,是否可以快速完成
id,name,strStartTime,strEndTime,nChapterID,nPreEvent,nPostEvent,strPostEvents,nProbability,nSuccessShowID,nFailShowID,nRewardID,strResourceReward,desc,strSimpleDesc,nQuickFlag
int,string,string,string,int,int,int,string,int,int,int,int,string,string,string,int
101010,比武大会,0:00:00,23:59:00,0,0,0,101020|101030,100,101011,0,0,0,null,NULL,1
101020,比武大会-智将的悲伤,0:00:00,23:59:00,0,0,0,0,100,101021,0,0,"36,30",null,NULL,1
101030,比武大会-智将的玩法,0:00:00,23:59:00,0,0,0,0,100,101031,101032,0,"36,20",null,NULL,1
102010,比武大会,0:00:00,23:59:00,0,0,0,102020|102030,100,102011,0,0,0,null,NULL,1
102020,比武大会-威吓,0:00:00,23:59:00,0,0,0,102040|102050,100,102021,0,0,0,null,NULL,1
102030,比武大会-智将的玩法,0:00:00,23:59:00,0,0,0,0,100,102031,0,0,"36,50",null,NULL,1
102040,比武大会-威吓无用,0:00:00,23:59:00,0,0,0,0,100,102041,102042,0,"36,70",null,NULL,1
102050,比武大会-无悬念的对决,0:00:00,23:59:00,0,0,0,0,100,102051,0,0,"36,50",null,NULL,1
103010,比武大会,0:00:00,23:59:00,0,0,0,103020|103030,100,103011,0,0,0,null,NULL,1
103020,比武大会-没兴趣,0:00:00,23:59:00,0,0,0,0,100,103021,0,0,"36,20",null,NULL,1
103030,比武大会-没兴趣！,0:00:00,23:59:00,0,0,0,103040|103050,100,103031,0,0,0,null,NULL,1
103040,比武大会-下注,0:00:00,23:59:00,0,0,0,0,100,103041,103042,0,"36,30",null,NULL,1
103050,比武大会-胡闹,0:00:00,23:59:00,0,0,0,0,100,103051,0,0,"36,20",null,NULL,1
104010,比武大会,0:00:00,23:59:00,0,0,0,104020|104030,100,104011,0,0,0,null,NULL,1
