id,风格,等级,主动技能:枪,弓,骑,主动技能图标,属性提升：武,智,兵,属性提升：武、智、兵,天赋1,天赋2
id,nStyle,nJuexingLevel,nQiangSkillID,nGongSkillID,nQiSkillID,nSkillIcon,addWu,addZhi,addBing,addRetinue,nTalentChoice1,nTalentChoice2
int,int,int,string,string,string,string,int,int,int,int,string,string
1,5,1,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,16,8,12,0,,
2,5,2,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,32,16,24,0,,
3,5,3,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,48,24,36,0,,
4,5,4,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,64,32,48,0,,
5,5,5,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,80,40,60,0,,
6,5,6,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,96,48,72,0,,
7,5,7,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,112,56,84,0,,
8,5,8,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,128,64,96,0,,
9,5,9,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,144,72,108,0,,
10,5,10,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,160,80,170,30,61002|61003,61009
11,5,11,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,176,88,182,30,,
12,5,12,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,192,96,194,30,,
13,5,13,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,208,104,206,30,,
14,5,14,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,224,112,218,30,,
15,5,15,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,240,120,230,30,,
