id,武力,智力,兵力,被动,类型,名字,图标
id,iWu,iZhi,iBing,iPassive,iType,strName,strSprite
int,int,int,int,int,int,string,string
1,133,133,133,108,0,演武战器,CommonBow00_Tex
2,133,133,133,208,0,演武战器,CommonBow00_Tex
3,133,133,133,308,0,演武战器,CommonBow00_Tex
4,133,133,133,408,0,演武战器,CommonBow00_Tex
5,133,133,133,508,0,演武战器,CommonBow00_Tex
6,133,133,133,608,0,演武战器,CommonBow00_Tex
7,133,133,133,708,0,演武战器,CommonBow00_Tex
8,133,133,133,1008,0,演武战器,CommonBow00_Tex
9,133,133,133,1108,0,演武战器,CommonBow00_Tex
10,133,133,133,1208,0,演武战器,CommonBow00_Tex
11,133,133,133,1408,0,演武战器,CommonBow00_Tex
12,133,133,133,1508,0,演武战器,CommonBow00_Tex
13,133,133,133,1608,0,演武战器,CommonBow00_Tex
14,133,133,133,1708,0,演武战器,CommonBow00_Tex
15,133,133,133,1808,0,演武战器,CommonBow00_Tex
16,133,133,133,1908,0,演武战器,CommonBow00_Tex
